date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:05	106708/106708	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:52:40%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/_17716006_65825	J:/$projects/DigestExt/DigestPlus/web/_17716006_65825.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
08:53:06	133505/133505	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:52:41%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/_17716007_65665	J:/$projects/DigestExt/DigestPlus/web/_17716007_65665.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
08:53:07	170518/170518	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:52:41%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/_17716011_19306	J:/$projects/DigestExt/DigestPlus/web/_17716011_19306.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
08:53:07	226884/226884	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:52:41%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/_17716008_70597	J:/$projects/DigestExt/DigestPlus/web/_17716008_70597.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
08:53:07	162342/162342	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:52:41%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/_17716012_43621	J:/$projects/DigestExt/DigestPlus/web/_17716012_43621.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
08:53:07	268571/268571	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:52:42%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/_17716139_58351	J:/$projects/DigestExt/DigestPlus/web/_17716139_58351.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
08:53:08	341234/341234	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:52:42%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/_17716152_57172	J:/$projects/DigestExt/DigestPlus/web/_17716152_57172.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
08:53:08	168892/168892	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:52:42%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/ContactorsAndStarters-F36C4C99	J:/$projects/DigestExt/DigestPlus/web/contactorsandstarters-f36c4c99.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
08:53:08	168951/168951	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:52:43%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/_17716141_77310	J:/$projects/DigestExt/DigestPlus/web/_17716141_77310.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
08:53:08	234282/234282	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:52:43%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827/r/ContactorsAndStarters-F36C6601	J:/$projects/DigestExt/DigestPlus/web/contactorsandstarters-f36c6601.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244827)
